# CI_RIO -117.97945517 34.10471714
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     188.9669952    1921.9725342  
  20.0      1921.5999756     391.2842102    2168.4206543  
  40.0      1910.3541260     530.3259888    2166.6450195  
  60.0      1880.0969238     633.9530029    2161.8671875  
  80.0      1841.2432861     676.6229858    2155.7324219  
 100.0      1801.5375977     737.5800171    2149.4628906  
 120.0      1767.0262451     780.2500000    2144.0134277  
 140.0      1742.3884277     784.9492798    2140.1230469  
 160.0      1731.0565186     778.3522339    2138.3337402  
 180.0      1735.2719727     780.8049316    2138.9995117  
 200.0      1756.1329346     792.9692993    2142.2934570  
 220.0      1812.7678223     826.2258301    2151.2360840  
 240.0      1866.0693359     857.8282471    2159.6523438  
 260.0      1916.4877930     887.9859009    2167.6135254  
 280.0      1964.3858643     916.8685913    2175.1765137  
 300.0      2010.0552979     944.6144409    2182.3876953  
 320.0      2053.7380371     971.3386841    2189.2851562  
 340.0      2095.6376953     997.1392212    2195.9011230  
 360.0      2231.0295410    1134.1053467    2224.8586426  
 380.0      2237.2758789    1139.3446045    2229.5717773  
 400.0      2243.0292969    1144.3312988    2234.1218262  
 420.0      2248.3305664    1149.0844727    2238.5234375  
 440.0      2253.2143555    1153.6214600    2242.7871094  
 460.0      2257.7124023    1157.9572754    2246.9233398  
 480.0      2261.8520508    1162.1054688    2250.9416504  
 500.0      2265.6577148    1166.0775146    2254.8498535  
 520.0      2280.2431641    1176.0208740    2258.6550293  
 540.0      2294.5363770    1185.8089600    2262.3640137  
 560.0      2308.5556641    1195.4506836    2265.9826660  
 580.0      2322.3164062    1204.9538574    2269.5161133  
 600.0      2335.8334961    1214.3260498    2272.9692383  
 620.0      2349.1208496    1223.5742188    2276.3464355  
 640.0      2362.1901855    1232.7041016    2279.6518555  
 660.0      2375.0527344    1241.7213135    2282.8889160  
 680.0      2387.7189941    1250.6315918    2286.0617676  
 700.0      2400.1987305    1259.4394531    2289.1723633  
 720.0      2412.5000000    1268.1492920    2292.2246094  
 740.0      2424.6318359    1276.7658691    2295.2209473  
 760.0      2436.6010742    1285.2923584    2298.1635742  
 780.0      2448.4157715    1293.7329102    2301.3725586  
 800.0      2460.0812988    1302.0904541    2305.0698242  
 820.0      2471.6042480    1310.3687744    2308.7060547  
 840.0      2482.9907227    1318.5704346    2312.2834473  
 860.0      2494.2460938    1326.6986084    2315.8049316  
 880.0      2505.3750000    1337.9868164    2319.2719727  
 900.0      2516.3825684    1355.4300537    2322.6870117  
 920.0      2527.2724609    1372.6876221    2326.0517578  
 940.0      2538.0500488    1389.7663574    2329.3681641  
 960.0      2548.7185059    1406.6715088    2332.6376953  
 980.0      2559.2817383    1423.4091797    2335.8623047  
1000.0      2571.1166992    1439.9841309    2339.0432129  
1020.0      2595.1235352    1457.0362549    2342.1818848  
1040.0      2618.8715820    1473.9356689    2345.2800293  
1060.0      2642.3703613    1490.6872559    2348.3386230  
1080.0      2665.6269531    1507.2951660    2351.3591309  
1100.0      2688.6489258    1523.7631836    2354.3425293  
1120.0      2711.4428711    1540.0954590    2357.2897949  
1140.0      2734.0166016    1556.2958984    2360.2023926  
1160.0      2756.3759766    1572.3684082    2363.0812988  
1180.0      2778.5251465    1588.3144531    2365.9267578  
1200.0      2800.4731445    1604.1394043    2368.7404785  
1220.0      2822.2255859    1619.8471680    2371.5234375  
1240.0      2843.7851562    1635.4382324    2374.2758789  
1260.0      2865.1572266    1650.9160156    2376.9987793  
1280.0      2886.3493652    1666.2849121    2379.6933594  
1300.0      2907.3642578    1681.5463867    2382.3598633  
1320.0      2928.2062988    1696.7027588    2384.9990234  
1340.0      2948.8811035    1711.7572021    2387.6115723  
1360.0      2969.3918457    1726.7119141    2390.1984863  
1380.0      2989.7426758    1741.5686035    2392.7600098  
1400.0      3009.9379883    1756.3303223    2395.2971191  
1420.0      3029.9804688    1770.9986572    2397.8100586  
1440.0      3049.8745117    1785.5759277    2400.2995605  
1460.0      3069.6230469    1800.0638428    2402.7661133  
1480.0      3089.2302246    1814.4645996    2405.2102051  
1500.0      3108.6977539    1828.7791748    2407.6323242  
1520.0      3126.8403320    1841.8411865    2410.0332031  
1540.0      2677.4506836    1526.0883789    2338.4570312  
1560.0      2688.6938477    1534.6693115    2339.9218750  
1580.0      2701.6579590    1543.7712402    2341.5048828  
1600.0      2712.1923828    1551.2054443    2342.7045898  
1620.0      2720.3083496    1556.9753418    2343.5219727  
1640.0      2726.0053711    1561.0792236    2343.9577637  
1660.0      2729.2629395    1563.5002441    2344.0080566  
1680.0      2730.0634766    1564.2272949    2343.6706543  
1700.0      2728.3659668    1563.2326660    2342.9387207  
1720.0      2724.1245117    1560.4869385    2341.8049316  
1740.0      2717.2846680    1555.9562988    2340.2609863  
1760.0      2709.3942871    1549.5977783    2338.2958984  
1780.0      2706.7438965    1541.3729248    2335.8989258  
1800.0      2703.0544434    1531.2285156    2333.0561523  
1820.0      2698.2924805    1519.1131592    2329.7536621  
1840.0      2692.4221191    1504.9727783    2325.9755859  
1860.0      2685.4023438    1488.7462158    2321.7043457  
1880.0      2677.1911621    1473.6356201    2316.9223633  
1900.0      2667.7412109    1467.6989746    2311.6088867  
1920.0      2657.0009766    1460.9467773    2305.7421875  
1940.0      2667.0156250    1467.7756348    2308.7773438  
1960.0      2678.8193359    1475.7869873    2312.5798340  
1980.0      2690.4929199    1483.7272949    2316.3266602  
2000.0      2702.0407715    1496.8972168    2320.0195312  
2020.0      2714.5468750    1515.7944336    2323.6608887  
2040.0      2726.9379883    1534.5131836    2327.2526855  
2060.0      2739.2172852    1553.0588379    2330.7966309  
2080.0      2751.3894043    1571.4388428    2334.2949219  
2100.0      2763.4582520    1589.6577148    2337.7485352  
2120.0      2785.2683105    1607.7210693    2341.1594238  
2140.0      2810.6232910    1625.6330566    2344.5285645  
2160.0      2835.7258301    1643.4000244    2347.8581543  
2180.0      2860.5825195    1661.0250244    2351.1489258  
2200.0      2885.2016602    1678.5124512    2354.4018555  
