# CI_SDD -117.66173830 33.55258782
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3396.8862305    1923.9440918    2602.2226562  
  20.0      3396.9111328    1923.9567871    2602.2226562  
  40.0      3396.9362793    1923.9694824    2602.2226562  
  60.0      3396.9614258    1923.9820557    2602.2226562  
  80.0      3396.9863281    1923.9947510    2602.2226562  
 100.0      3397.0114746    1924.0074463    2602.2226562  
 120.0      3397.0366211    1924.0200195    2602.2226562  
 140.0      3397.0615234    1924.0327148    2602.2226562  
 160.0      3397.0866699    1924.0454102    2602.2226562  
 180.0      3397.1118164    1924.0581055    2602.2226562  
 200.0      3397.1367188    1924.0706787    2602.2226562  
 220.0      3397.1618652    1924.0833740    2602.2226562  
 240.0      3397.1870117    1924.0960693    2602.2226562  
 260.0      3397.2119141    1924.1086426    2602.2226562  
 280.0      3397.2370605    1924.1213379    2602.2226562  
 300.0      3397.2622070    1924.1340332    2602.2226562  
 320.0      3397.2871094    1924.1467285    2602.2226562  
 340.0      3397.3122559    1924.1594238    2602.2226562  
 360.0      3397.3374023    1924.1719971    2602.2226562  
 380.0      3397.3623047    1924.1846924    2602.2226562  
 400.0      3397.3874512    1924.1973877    2602.2226562  
 420.0      3397.4125977    1924.2099609    2602.2226562  
 440.0      3397.4375000    1924.2226562    2602.2226562  
 460.0      3397.4626465    1924.2353516    2602.2226562  
 480.0      3397.4877930    1924.2480469    2602.2226562  
 500.0      3397.5126953    1924.2607422    2602.2226562  
 520.0      3404.2963867    1928.9168701    2602.2226562  
 540.0      3411.0798340    1933.5729980    2602.2226562  
 560.0      3417.8632812    1938.2292480    2602.2226562  
 580.0      3424.6467285    1942.8854980    2602.2226562  
 600.0      3431.4301758    1947.5416260    2602.2226562  
 620.0      3438.2138672    1952.1978760    2602.2226562  
 640.0      3444.9973145    1956.8540039    2602.2226562  
 660.0      3451.7807617    1961.5102539    2602.2226562  
 680.0      3458.5644531    1966.1665039    2602.2226562  
 700.0      3465.3476562    1970.8226318    2602.2226562  
 720.0      3472.1313477    1975.4788818    2602.2226562  
 740.0      3478.9147949    1980.1350098    2602.2226562  
 760.0      3485.6982422    1984.7912598    2602.2226562  
 780.0      3492.4819336    1989.4473877    2602.2226562  
 800.0      3499.2651367    1994.1036377    2602.2226562  
 820.0      3506.0488281    1998.7597656    2602.2226562  
 840.0      3512.8322754    2003.4160156    2602.2226562  
 860.0      3519.6157227    2008.0722656    2602.2226562  
 880.0      3526.3994141    2012.7283936    2602.2226562  
 900.0      3533.1826172    2017.3846436    2602.2226562  
 920.0      3539.9663086    2022.0407715    2602.2226562  
 940.0      3546.7497559    2026.6970215    2602.2226562  
 960.0      3553.5332031    2031.3532715    2602.2226562  
 980.0      3560.3168945    2036.0093994    2602.2226562  
1000.0      3567.1611328    2040.7290039    2602.2324219  
1020.0      3579.2324219    2050.5107422    2603.0192871  
1040.0      3591.3046875    2060.2929688    2603.8063965  
1060.0      3603.3762207    2070.0747070    2604.5932617  
1080.0      3615.4482422    2079.8569336    2605.3803711  
1100.0      3627.5200195    2089.6386719    2606.1674805  
1120.0      3639.5917969    2099.4206543    2606.9545898  
1140.0      3651.6638184    2109.2026367    2607.7416992  
1160.0      3663.7358398    2118.9848633    2608.5288086  
1180.0      3675.8076172    2128.7666016    2609.3159180  
1200.0      3687.8791504    2138.5485840    2610.1027832  
1220.0      3699.9506836    2148.3308105    2610.8898926  
1240.0      3712.0224609    2158.1125488    2611.6767578  
1260.0      3724.0942383    2167.8947754    2612.4638672  
1280.0      3736.1662598    2177.6765137    2613.2509766  
1300.0      3748.2377930    2187.4584961    2614.0380859  
1320.0      3760.3095703    2197.2404785    2614.8251953  
1340.0      3772.3815918    2207.0227051    2615.6123047  
1360.0      3784.4533691    2216.8041992    2616.3991699  
1380.0      3796.5249023    2226.5864258    2617.1862793  
1400.0      3808.5966797    2236.3681641    2617.9733887  
1420.0      3820.6687012    2246.1503906    2618.7604980  
1440.0      3832.7409668    2255.9321289    2619.5476074  
1460.0      3844.8125000    2265.7143555    2620.3344727  
1480.0      3856.8842773    2275.4960938    2621.1215820  
1500.0      3868.9558105    2285.2783203    2621.9086914  
1520.0      3878.5144043    2292.3781738    2622.6958008  
1540.0      3888.0737305    2299.4780273    2623.4829102  
1560.0      3897.6323242    2306.5781250    2624.2697754  
1580.0      3907.1914062    2313.6782227    2625.0568848  
1600.0      3916.7502441    2320.7780762    2625.8439941  
1620.0      3926.3088379    2327.8779297    2626.6308594  
1640.0      3935.8676758    2334.9782715    2627.4179688  
1660.0      3945.4267578    2342.0781250    2628.2050781  
1680.0      3954.9853516    2349.1779785    2628.9921875  
1700.0      3964.5441895    2356.2778320    2629.7792969  
1720.0      3974.1032715    2363.3781738    2630.5664062  
1740.0      3983.6621094    2370.4780273    2631.3532715  
1760.0      3993.2207031    2377.5778809    2632.1403809  
1780.0      4002.7797852    2384.6777344    2632.9274902  
1800.0      4012.3383789    2391.7780762    2633.7145996  
1820.0      4021.8972168    2398.8779297    2634.5014648  
1840.0      4031.4558105    2405.9777832    2635.2885742  
1860.0      4041.0151367    2413.0781250    2636.0756836  
1880.0      4050.5737305    2420.1779785    2636.8627930  
1900.0      4060.1323242    2427.2778320    2637.6499023  
1920.0      4069.6911621    2434.3779297    2638.4367676  
1940.0      4079.2507324    2441.4780273    2639.2241211  
1960.0      4088.8095703    2448.5778809    2640.0109863  
1980.0      4098.3681641    2455.6779785    2640.7980957  
2000.0      4107.9267578    2462.7778320    2641.5849609  
2020.0      4117.9663086    2470.1838379    2642.3720703  
2040.0      4128.0043945    2477.5891113    2643.1591797  
2060.0      4138.0439453    2484.9948730    2643.9462891  
2080.0      4148.0830078    2492.4003906    2644.7333984  
2100.0      4158.1210938    2499.8059082    2645.5202637  
2120.0      4168.1606445    2507.2114258    2646.3073730  
2140.0      4178.1992188    2514.6171875    2647.0944824  
2160.0      4188.2382812    2522.0229492    2647.8813477  
2180.0      4198.2768555    2529.4284668    2648.6684570  
2200.0      4208.3164062    2536.8342285    2649.4555664  
2220.0      4218.3554688    2544.2397461    2650.2426758  
2240.0      4228.3945312    2551.6452637    2651.0297852  
2260.0      4238.4331055    2559.0510254    2651.8168945  
2280.0      4248.4721680    2566.4565430    2652.6040039  
2300.0      4258.5107422    2573.8623047    2653.3908691  
2320.0      4268.5498047    2581.2680664    2654.1779785  
2340.0      4278.5888672    2588.6733398    2654.9650879  
2360.0      4288.6279297    2596.0791016    2655.7521973  
2380.0      4298.6669922    2603.4846191    2656.5390625  
2400.0      4308.7055664    2610.8901367    2657.3261719  
2420.0      4318.7441406    2618.2958984    2658.1132812  
2440.0      4328.7836914    2625.7019043    2658.9003906  
2460.0      4338.8222656    2633.1071777    2659.6875000  
2480.0      4348.8618164    2640.5129395    2660.4746094  
2500.0      4358.9003906    2647.9184570    2661.2614746  
2520.0      4366.2412109    2652.2612305    2662.0485840  
2540.0      4373.5830078    2656.6042480    2662.8356934  
