# NP_707 -117.44892820 33.85397901
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      5309.1811523    2913.1123047    2784.3488770  
  20.0      5309.7729492    2908.8239746    2784.3488770  
  40.0      5310.3647461    2904.5356445    2784.3488770  
  60.0      5310.9565430    2900.2470703    2784.3488770  
  80.0      5311.5478516    2895.9587402    2784.3488770  
 100.0      5312.1396484    2891.6701660    2784.3488770  
 120.0      5312.7314453    2887.3818359    2784.3488770  
 140.0      5313.3232422    2883.0932617    2784.3488770  
 160.0      5313.9150391    2878.8049316    2784.3488770  
 180.0      5314.5068359    2874.5163574    2784.3488770  
 200.0      5315.0986328    2870.2280273    2784.3488770  
 220.0      5315.6904297    2865.9394531    2784.3488770  
 240.0      5316.2817383    2861.6511230    2784.3488770  
 260.0      5316.8735352    2857.3627930    2784.3488770  
 280.0      5317.4653320    2853.0742188    2784.3488770  
 300.0      5318.0571289    2848.7856445    2784.3488770  
 320.0      5318.6489258    2844.4973145    2784.3488770  
 340.0      5319.2407227    2840.2089844    2784.3488770  
 360.0      5319.8325195    2835.9204102    2784.3488770  
 380.0      5320.4243164    2831.6320801    2784.3488770  
 400.0      5321.0156250    2827.3435059    2784.3488770  
 420.0      5321.6074219    2823.0551758    2784.3488770  
 440.0      5322.1992188    2818.7666016    2784.3488770  
 460.0      5322.7910156    2814.4782715    2784.3488770  
 480.0      5323.3828125    2810.1896973    2784.3488770  
 500.0      5323.9746094    2805.9013672    2784.3488770  
 520.0      5330.1816406    2812.1503906    2784.3488770  
 540.0      5336.3886719    2818.3994141    2784.3488770  
 560.0      5342.5952148    2824.6484375    2784.3488770  
 580.0      5348.8022461    2830.8974609    2784.3488770  
 600.0      5355.0092773    2837.1464844    2784.3488770  
 620.0      5361.2163086    2843.3955078    2784.3488770  
 640.0      5367.4233398    2849.6445312    2784.3488770  
 660.0      5373.6303711    2855.8935547    2784.3488770  
 680.0      5379.8374023    2862.1425781    2784.3488770  
 700.0      5386.0439453    2868.3916016    2784.3488770  
 720.0      5392.2509766    2874.6406250    2784.3488770  
 740.0      5398.4580078    2880.8896484    2784.3488770  
 760.0      5404.6650391    2887.1386719    2784.3488770  
 780.0      5410.8720703    2893.3876953    2784.3488770  
