site_ID    site_name    longitude    latitude    vs30 (m/s)
0          CE13066      -117.957000  33.840000   276.975
1          CE13873      -117.896000  33.933000   311.508
2          CE13878      -117.887000  33.889000   338.690
3          CE13879      -117.959000  33.866000   279.195
4          CE13880      -117.931000  33.909000   349.474
5          CE13881      -117.956000  33.931000   342.011
6          CE13883      -117.858000  33.853000   311.948
7          CE13885      -117.956000  33.757000   271.920
8          CE13886      -117.968000  33.791000   279.837
9          CE13894      -117.921000  33.789000   281.277
10         CE14026      -118.047000  33.889000   279.195
11         CE14027      -118.058000  33.928000   340.413
12         CE14028      -118.066000  33.962000   277.515
13         CE14400      -118.072000  33.837000   275.713
14         CE14829      -118.118000  33.883000   275.877
15         CE14830      -118.107000  33.846000   267.135
16         CE14840      -118.001000  33.946000   279.429
17         CE14869      -118.108000  33.818000   273.676
18         CE14937      -118.011000  33.905000   334.694
19         CIBRE        -117.981200  33.807800   280.413
20         CIDLA        -118.096200  33.848200   267.135
21         CIFUL        -117.922500  33.871700   354.260
22         CILBW1       -118.088400  33.798000   279.195
23         CIOLI        -117.923700  33.945400   321.054
24         CIQ0067      -117.991000  33.947000   334.694
